match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
3817899,Jamshedpur,42.0,1.619,52.38,33.33,14.29,Low Block,22.0,14.0,6.0
3817899,Odisha,57.0,1.281,80.7,10.53,8.77,Low Block,46.0,6.0,5.0
3817900,Chennaiyin,62.0,1.403,70.97,17.74,11.29,Low Block,44.0,11.0,7.0
3817900,Jamshedpur,58.0,1.672,53.45,25.86,20.69,Low Block,31.0,15.0,12.0
3817901,Jamshedpur,71.0,1.437,64.79,26.76,8.45,Low Block,46.0,19.0,6.0
3817901,Mumbai City,40.0,1.4,67.5,25.0,7.5,Low Block,27.0,10.0,3.0
3817902,East Bengal,81.0,1.444,59.26,37.04,3.7,Low Block,48.0,30.0,3.0
3817902,Kerala Blasters,63.0,1.556,53.97,36.51,9.52,Low Block,34.0,23.0,6.0
3827335,Jamshedpur,42.0,1.571,57.14,28.57,14.29,Low Block,24.0,12.0,6.0
3827335,Kerala Blasters,55.0,1.218,83.64,10.91,5.45,Low Block,46.0,6.0,3.0
3827336,ATK Mohun Bagan,48.0,1.542,56.25,33.33,10.42,Low Block,27.0,16.0,5.0
3827336,Hyderabad,82.0,1.183,85.37,10.98,3.66,Low Block,70.0,9.0,3.0
3827337,Jamshedpur,59.0,1.508,55.93,37.29,6.78,Low Block,33.0,22.0,4.0
3827337,Kerala Blasters,54.0,1.278,75.93,20.37,3.7,Low Block,41.0,11.0,2.0
3827338,ATK Mohun Bagan,54.0,1.259,75.93,22.22,1.85,Low Block,41.0,12.0,1.0
3827338,Hyderabad,49.0,1.429,65.31,26.53,8.16,Low Block,32.0,13.0,4.0
3827767,Hyderabad,75.0,1.373,65.33,32.0,2.67,Low Block,49.0,24.0,2.0
3827767,Kerala Blasters,66.0,1.379,66.67,28.79,4.55,Low Block,44.0,19.0,3.0
