match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
3895067,Bayer Leverkusen,Exequiel Alejandro Palacios,75.0,76.0,151.0,8,9,17,20.43
3837706,Paris Saint-Germain,Marco Verratti,76.0,74.0,150.0,9,9,18,23.81
3813279,Chennaiyin,Vladimir Koman Jr.,78.0,72.0,150.0,12,13,25,35.29
3895194,Bayer Leverkusen,Alejandro Grimaldo García,75.0,75.0,150.0,10,11,21,19.82
3802818,Paris Saint-Germain,Danilo Luís Hélio Pereira,78.0,72.0,150.0,11,12,23,21.87
3817875,Goa,Eduardo Bedia Peláez,77.0,73.0,150.0,12,14,26,33.26
3837902,Paris Saint-Germain,Sergio Ramos García,78.0,72.0,150.0,10,12,22,25.68
3837727,Paris Saint-Germain,Neymar da Silva Santos Junior,69.0,81.0,150.0,13,13,26,23.81
3802795,Paris Saint-Germain,Presnel Kimpembe,78.0,72.0,150.0,10,11,21,22.8
3837896,Paris Saint-Germain,Sergio Ramos García,78.0,72.0,150.0,10,10,20,20.8
3802818,Paris Saint-Germain,Idrissa Gana Gueye,78.0,71.0,149.0,12,12,24,21.72
3802837,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,68.0,81.0,149.0,10,10,20,21.85
3895134,Hoffenheim,Kevin Vogt,75.0,74.0,149.0,13,11,24,33.33
3895309,Borussia Dortmund,Nico Schlotterbeck,79.0,70.0,149.0,13,12,25,33.63
3802805,Paris Saint-Germain,Juan Bernat Velasco,77.0,71.0,148.0,9,9,18,23.38
3837859,Paris Saint-Germain,Achraf Hakimi Mouh,75.0,73.0,148.0,9,11,20,25.17
3813312,Mumbai City,Ahmed Jahouh,80.0,68.0,148.0,11,10,21,33.94
3837683,Paris Saint-Germain,Vitor Machado Ferreira,74.0,74.0,148.0,11,12,23,25.92
3895250,Bayer Leverkusen,Robert Andrich,75.0,73.0,148.0,13,12,25,23.79
3895194,Bayer Leverkusen,Piero Martín Hincapié Reyna,74.0,73.0,147.0,8,9,17,19.42
