match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3817895,Chennaiyin,18,0.62,33.0,0.034,1.83
3817895,Goa,78,8.133000000000001,225.0,0.104,2.88
3817896,East Bengal,39,2.154,82.0,0.055,2.1
3817896,Odisha,25,6.128,79.0,0.245,3.16
3817897,Hyderabad,24,4.17,88.0,0.174,3.67
3817897,Kerala Blasters,29,2.658,60.0,0.092,2.07
3817898,Goa,66,10.43,187.0,0.158,2.83
3817898,Mumbai City,16,0.673,24.0,0.042,1.5
3817899,Jamshedpur,32,4.471,67.0,0.14,2.09
3817899,Odisha,13,0.903,18.0,0.069,1.38
3817900,Chennaiyin,39,4.177,124.0,0.107,3.18
3817900,Jamshedpur,53,5.519,153.0,0.104,2.89
3817901,Jamshedpur,15,3.624,41.0,0.242,2.73
3817901,Mumbai City,64,8.568,226.0,0.134,3.53
3817902,East Bengal,19,1.555,49.0,0.082,2.58
3817902,Kerala Blasters,36,1.298,61.0,0.036,1.69
3827335,Jamshedpur,16,1.703,35.0,0.106,2.19
3827335,Kerala Blasters,28,5.015000000000001,67.0,0.179,2.39
3827336,ATK Mohun Bagan,70,8.634,206.0,0.123,2.94
3827336,Hyderabad,32,1.379,76.0,0.043,2.38
3827337,Jamshedpur,4,0.27199999999999996,5.0,0.068,1.25
3827337,Kerala Blasters,5,0.868,7.0,0.174,1.4
3827338,ATK Mohun Bagan,29,8.016,84.0,0.276,2.9
3827338,Hyderabad,25,1.807,60.0,0.072,2.4
3827767,Hyderabad,22,1.046,41.0,0.048,1.86
3827767,Kerala Blasters,36,3.483,77.0,0.097,2.14
3837650,Clermont Foot,33,1.169,83.0,0.035,2.52
3837650,Paris Saint-Germain,68,9.542,230.0,0.14,3.38
3837659,Montpellier,11,4.777,89.0,0.434,8.09
3837659,Paris Saint-Germain,40,5.533,89.0,0.138,2.22
3837662,Lille,57,9.167,224.0,0.161,3.93
3837662,Paris Saint-Germain,54,9.864,175.0,0.183,3.24
3837680,AS Monaco,10,1.998,23.0,0.2,2.3
3837680,Paris Saint-Germain,55,5.756,243.0,0.105,4.42
3837683,Paris Saint-Germain,61,13.052,191.0,0.214,3.13
3837683,Toulouse,38,1.692,100.0,0.045,2.63
3837695,Nantes,31,1.092,98.0,0.035,3.16
