season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2024,3930175,Romania,Denis Mihai Drăguş,25,1.0,4.0,14,16.0,80,28.13
2023,3922237,Namibia,Riaan Hanamub,25,6.0,9.0,4,36.0,94,23.94
2023,3920393,Namibia,Absalom Iimbondi,25,5.0,2.0,5,8.0,90,25.0
2023,3920386,Equatorial Guinea,Ibán Salvador Edu,25,3.0,10.0,6,40.0,92,24.46
2024,3939978,Canada,Stephen Antunes Eustáquio,24,5.0,7.0,4,29.17,95,22.74
2022,3857267,Senegal,Idrissa Gana Gueye,24,3.0,5.0,4,20.83,95,22.74
2024,3930162,Slovenia,Timi Elšnik,24,5.0,3.0,4,12.5,73,29.59
2023,3920385,Egypt,Mohamed Salah,24,7.0,7.0,11,29.17,100,21.6
2024,3930167,Albania,Rey Manaj,24,2.0,1.0,6,4.17,84,25.71
2024,3941017,Slovakia,Ondrej Duda,24,2.0,5.0,10,20.83,81,26.67
2023,3920410,Mozambique,Ricardo Martins Guimarães,24,6.0,2.0,4,8.33,86,25.12
2024,3938638,Romania,Denis Mihai Drăguş,24,4.0,2.0,8,8.33,75,28.8
2024,3942415,Brazil,Lucas Tolentino Coelho de Lima,24,10.0,7.0,4,29.17,79,27.34
2023,3922321,Nigeria,Ademola Lookman,24,7.0,4.0,7,16.67,94,22.98
2023,3920400,Cameroon,André-Frank Zambo Anguissa,24,3.0,7.0,6,29.17,92,23.48
2023,3922238,Nigeria,Victor James Osimhen,24,4.0,6.0,11,25.0,98,22.04
2024,3942382,Turkey,Salih Özcan,24,3.0,6.0,1,25.0,76,28.42
2022,3857262,South Korea,Jae-Sung Lee,24,6.0,3.0,4,12.5,64,33.75
2023,3920393,Namibia,Petrus Shitembi,24,5.0,5.0,2,20.83,61,35.41
2023,3922242,Senegal,Nicolas Jackson,24,3.0,6.0,12,25.0,54,40.0
2023,3920407,South Africa,Teboho Mokoena,24,6.0,6.0,1,25.0,92,23.48
2024,3942415,Uruguay,Facundo Pellistri Rebollo,24,2.0,7.0,8,29.17,76,28.42
2022,3857301,Senegal,Krépin Diatta,24,3.0,5.0,11,20.83,63,34.29
2024,3939970,Peru,Sergio Fernando Peña Flores,24,6.0,6.0,1,25.0,93,23.23
2022,3857276,Morocco,Sofiane Boufal,24,3.0,6.0,2,25.0,64,33.75
2023,3920416,Tunisia,Anis Ben Slimane,24,2.0,3.0,8,12.5,58,37.24
2024,3930169,Scotland,Scott McTominay,24,4.0,6.0,13,25.0,90,24.0
2024,3930169,Scotland,John McGinn,24,3.0,2.0,14,8.33,89,24.27
2023,3920404,Mali,Lassine Sinayoko,24,5.0,2.0,11,8.33,81,26.67
2023,3920418,Tanzania,Mbwana Ally Samatta,24,4.0,7.0,7,29.17,85,25.41
2023,3922238,Nigeria,Ademola Lookman,24,5.0,5.0,6,20.83,100,21.6
2022,3857274,Netherlands,Teun Koopmeiners,24,6.0,7.0,2,29.17,79,27.34
2022,3857263,Germany,Thomas Müller,24,2.0,5.0,19,20.83,69,31.3
2024,3930172,Italy,Giovanni Di Lorenzo,24,1.0,9.0,1,37.5,96,22.5
2023,3920400,Senegal,Pape Matar Sarr,24,5.0,3.0,2,12.5,73,29.59
2022,3857278,United States,Yunus Dimoara Musah,24,7.0,6.0,4,25.0,97,22.27
2023,3920384,Côte d'Ivoire,Ibrahim Sangaré,24,7.0,5.0,3,20.83,89,24.27
2024,3930163,England,Jude Bellingham,24,3.0,4.0,3,16.67,85,25.41
2024,3942227,Switzerland,Michel Aebischer,24,7.0,3.0,5,12.5,116,18.62
2022,3857283,Morocco,Hakim Ziyech,24,5.0,7.0,8,29.17,94,22.98
2023,3922837,Nigeria,Ademola Lookman,24,7.0,3.0,11,12.5,101,21.39
2024,3939980,Ecuador,Ray Kendry Páez Andrade,24,8.0,3.0,12,12.5,87,24.83
2024,3939978,Canada,Jonathan David,24,7.0,6.0,8,25.0,96,22.5
2022,3869684,Croatia,Mislav Oršić,24,9.0,5.0,7,20.83,93,23.23
2024,3939971,Jamaica,Kasey Palmer,24,10.0,5.0,6,20.83,90,24.0
2022,3857259,Cameroon,André-Frank Zambo Anguissa,23,6.0,5.0,5,21.74,78,26.54
2024,3930172,Spain,Pedro González López,23,5.0,3.0,12,13.04,69,30.0
2022,3857266,Denmark,Jesper Lindstrøm,23,1.0,3.0,9,13.04,84,24.64
2024,3938645,Ukraine,Georgiy Sudakov,23,0.0,1.0,3,4.35,91,22.75
2024,3939975,Paraguay,Mathías Adalberto Villasanti Rolón,23,10.0,3.0,10,13.04,78,26.54
2024,3942226,Germany,Toni Kroos,23,3.0,5.0,0,21.74,126,16.43
2023,3922238,Nigeria,Zaidu Sanusi,23,7.0,6.0,4,26.09,79,26.2
2024,3939970,Peru,Wilder José Cartagena Mendoza,23,7.0,4.0,0,17.39,87,23.79
2023,3922238,Nigeria,Frank Onyeka,23,6.0,11.0,4,47.83,98,21.12
2022,3857294,Qatar,Assim Omer Al Haj Madibo,23,4.0,5.0,0,21.74,62,33.39
2022,3857293,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,23,7.0,9.0,3,39.13,79,26.2
2022,3857272,England,Mason Mount,23,4.0,4.0,6,17.39,88,23.52
2024,3943043,Spain,Álvaro Borja Morata Martín,23,4.0,5.0,10,21.74,67,30.9
2024,3939984,Costa Rica,Warren Steven Madrigal Molina,23,3.0,6.0,9,26.09,82,25.24
2022,3869519,Argentina,Enzo Fernandez,23,1.0,5.0,2,21.74,91,22.75
2024,3941020,Slovenia,Timi Elšnik,23,3.0,7.0,2,30.43,104,19.9
2023,3920391,South Africa,Thapelo Maseko,23,4.0,3.0,5,13.04,85,24.35
2022,3869117,Netherlands,Daley Blind,23,1.0,8.0,4,34.78,95,21.79
2022,3857294,Netherlands,Marten de Roon,23,2.0,6.0,6,26.09,82,25.24
2024,3939990,United States,Ricardo Daniel Pepi,23,7.0,5.0,12,21.74,51,40.59
2023,3920417,Namibia,Prins Menelik Tjiueza,23,8.0,4.0,1,17.39,73,28.36
2022,3869321,Argentina,Julián Álvarez,23,4.0,3.0,9,13.04,77,26.88
2023,3920388,Gambia,Ebrima Darboe,23,4.0,7.0,2,30.43,80,25.88
2022,3857265,Mexico,Hirving Rodrigo Lozano Bahena,23,4.0,6.0,5,26.09,94,22.02
2024,3939972,Ecuador,Ray Kendry Páez Andrade,23,5.0,8.0,4,34.78,77,26.88
2022,3857284,Japan,Daichi Kamada,23,2.0,4.0,3,17.39,90,23.0
2024,3942229,Venezuela,José Andrés Martínez Torres,23,4.0,10.0,5,43.48,89,23.26
2024,3930175,Romania,Nicușor Silviu Bancu,23,3.0,5.0,1,21.74,93,22.26
2022,3857301,Senegal,Idrissa Gana Gueye,23,4.0,7.0,5,30.43,92,22.5
2022,3869321,Argentina,Alexis Mac Allister,23,2.0,4.0,2,17.39,119,17.39
2024,3942227,Switzerland,Remo Freuler,23,6.0,4.0,6,17.39,115,18.0
2022,3857293,Ghana,Alidu Seidu,23,2.0,10.0,0,43.48,98,21.12
2022,3869420,Brazil,Lucas Tolentino Coelho de Lima,23,3.0,3.0,6,13.04,105,19.71
2024,3930167,Albania,Kristjan Asllani,23,4.0,2.0,1,8.7,98,21.12
2022,3857255,Japan,Hidemasa Morita,23,1.0,1.0,1,4.35,91,22.75
2023,3920411,Egypt,Marwan Attia Fahim Ghallab,23,3.0,7.0,2,30.43,98,21.12
2022,3857260,Mexico,Orbelín Pineda Alvarado,23,5.0,5.0,7,21.74,76,27.24
2022,3857299,South Korea,Gue-Sung Cho,23,2.0,5.0,10,21.74,99,20.91
2022,3857282,Wales,Aaron Ramsey,23,1.0,7.0,3,30.43,99,20.91
2024,3939969,Argentina,Rodrigo Javier De Paul,23,4.0,4.0,4,17.39,92,22.5
2023,3920396,Ghana,Antoine Semenyo,23,0.0,1.0,6,4.35,96,21.56
2024,3930172,Italy,Federico Chiesa,23,5.0,0.0,5,0.0,63,32.86
2023,3920419,Morocco,Achraf Hakimi Mouh,23,6.0,5.0,4,21.74,94,22.02
2023,3920412,Senegal,Habibou Mouhamadou Diallo,23,3.0,3.0,14,13.04,87,23.79
2024,3941020,Slovenia,Jan Mlakar,23,2.0,2.0,0,8.7,73,28.36
2022,3857273,Iran,Mehdi Taremi,23,3.0,1.0,12,4.35,100,20.7
2024,3939976,Costa Rica,Brandon Aguilera Zamora,23,7.0,4.0,0,17.39,91,22.75
2024,3939984,Costa Rica,Joel Nathaniel Campbell Samuels,23,4.0,4.0,1,17.39,46,45.0
2024,3930182,Serbia,Saša Lukić,23,5.0,6.0,4,26.09,86,24.07
2024,3942349,Portugal,Bernardo Mota Veiga de Carvalho e Silva,23,1.0,3.0,9,13.04,121,17.11
2024,3939989,Bolivia,José Manuel Sagredo Chávez,23,2.0,10.0,2,43.48,94,22.02
2023,3920413,Cameroon,André-Frank Zambo Anguissa,22,4.0,5.0,4,22.73,99,20.0
2023,3920387,Ghana,Ransford Königsdörffer,22,1.0,3.0,7,13.64,61,32.46
2024,3930169,Switzerland,Remo Freuler,22,6.0,4.0,6,18.18,71,27.89
2022,3857299,Ghana,Jordan Ayew,22,7.0,6.0,4,27.27,76,26.05
2024,3941017,England,Jude Bellingham,22,6.0,4.0,7,18.18,104,19.04
2022,3869220,Spain,Pedro González López,22,7.0,4.0,2,18.18,122,16.23
2023,3920392,Mauritania,Ibrahima Keita,22,3.0,9.0,1,40.91,91,21.76
2023,3920391,Mali,Lassine Sinayoko,22,5.0,3.0,8,13.64,85,23.29
2023,3920407,South Africa,Percy Tau,22,6.0,2.0,3,9.09,94,21.06
2024,3930176,Germany,Florian Wirtz,22,7.0,8.0,7,36.36,75,26.4
2024,3939971,Mexico,Julián Andrés Quiñones Quiñones,22,4.0,8.0,4,36.36,91,21.76
2024,3941019,France,N'Golo Kanté,22,3.0,4.0,4,18.18,90,22.0
