team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed
Stade de Reims,47.485,21.406315789473684,0.0150128794702824,69.55263157894737,0.46442105263157896,0.10436842105263158,1.1215357914579247,3.9113157894736843,0.12809276612957596,1.4871315789473685,0.44504117436448265,3.521578947368421
Hellas Verona,45.59026315789474,24.941315789473684,0.015077450482478414,71.21052631578948,0.4741315789473684,0.08173684210526315,1.130140946516277,3.770263157894737,0.10337885630338975,1.413421052631579,0.43750879284961547,3.401315789473684
Borussia Dortmund,63.64970588235295,24.29264705882353,0.026973637236312863,116.76470588235294,0.41597058823529415,0.17314705882352943,2.26888505305054,6.24,0.1408800861854645,1.5796764705882351,0.45812836237242355,3.491764705882353
Udinese,44.3821052631579,24.93026315789474,0.017722310056478202,69.23684210526316,0.4443684210526316,0.10652631578947369,1.2015035331592356,3.658684210526316,0.10656496256204605,1.3761315789473685,0.383571002979146,3.676842105263158
Getafe,46.34789473684211,24.945,0.015514890211737423,70.84210526315789,0.48636842105263156,0.10713157894736841,1.0373585734173263,3.6576315789473686,0.11867953402667165,1.4357631578947367,0.4223469949542248,3.560526315789474
Sassuolo,51.17526315789474,26.544736842105266,0.014250623464776586,79.10526315789474,0.41613157894736846,0.09207894736842105,1.1804324570847184,4.017894736842106,0.1339254246845704,1.4503947368421053,0.422268464305683,3.500526315789474
Paris Saint-Germain,66.09108108108107,17.484054054054052,0.022705236932215666,117.51351351351352,0.38416216216216215,0.15124324324324326,2.0793915936932583,7.445135135135135,0.11470022940045879,1.5305135135135135,0.45675232286606693,3.205405405405405
Villarreal,46.29210526315789,23.27052631578947,0.014314235130146532,75.84210526315789,0.4316315789473684,0.1165,0.9755767755896637,4.068157894736842,0.10539453612536402,1.4072368421052632,0.3770644494311556,3.607894736842105
Barcelona,66.2107894736842,28.66263157894737,0.028215447214838357,125.92105263157895,0.44255263157894736,0.1676842105263158,2.406147852270423,6.512631578947368,0.12414243711205487,1.532078947368421,0.47751381028230594,3.5421052631578944
Lille,51.2378947368421,24.06736842105263,0.014150381315538607,81.76315789473684,0.4744736842105263,0.08013157894736841,0.9914108074613308,3.9468421052631575,0.1592957451268078,1.4998421052631579,0.44880924993396554,3.5728947368421053
FC Köln,45.41323529411765,20.73205882352941,0.020309298672130268,62.411764705882355,0.44223529411764706,0.11708823529411765,1.2189209314391893,3.9932352941176474,0.06936935098851325,1.3295294117647058,0.3344660573392704,3.895588235294117
Nantes,48.75394736842105,24.457894736842103,0.011258125107396587,85.89473684210526,0.43376315789473685,0.08702631578947369,0.936835550433515,4.074473684210527,0.13625932300631094,1.4529473684210525,0.45632785423918976,3.5113157894736844
Frosinone,40.193684210526314,25.992368421052632,0.016568635572860577,49.13157894736842,0.48450000000000004,0.07073684210526317,0.8283590806133457,3.0426315789473684,0.10499557913351017,1.3401052631578947,0.40106489368652226,3.6394736842105266
