season_name,match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
2022,3869219,Japan,25,3.229,116.0,0.129,4.64
2022,3869220,Morocco,14,1.763,23.0,0.126,1.64
2022,3869220,Spain,44,2.571,192.0,0.058,4.36
2022,3869253,Brazil,62,10.766,263.0,0.174,4.24
2022,3869253,South Korea,26,0.808,80.0,0.031,3.08
2022,3869254,Portugal,49,6.699,145.0,0.137,2.96
2022,3869254,Switzerland,12,1.893,35.0,0.158,2.92
2022,3869321,Argentina,33,3.97,92.0,0.12,2.79
2022,3869321,Netherlands,13,0.612,34.0,0.047,2.62
2022,3869354,England,40,2.286,131.0,0.057,3.28
2022,3869354,France,26,2.908,66.0,0.112,2.54
2022,3869420,Brazil,73,7.745,215.0,0.106,2.95
2022,3869420,Croatia,31,2.086,95.0,0.067,3.06
2022,3869486,Morocco,18,1.932,42.0,0.107,2.33
2022,3869486,Portugal,39,2.075,80.0,0.053,2.05
2022,3869519,Argentina,26,2.211,70.0,0.085,2.69
2022,3869519,Croatia,38,1.803,123.0,0.047,3.24
2022,3869552,France,23,7.538,107.0,0.328,4.65
2022,3869552,Morocco,44,7.715,175.0,0.175,3.98
2022,3869684,Croatia,39,2.865,104.0,0.073,2.67
2022,3869684,Morocco,32,3.291,70.0,0.103,2.19
2022,3869685,Argentina,59,6.73,166.0,0.114,2.81
2022,3869685,France,13,1.18,30.0,0.091,2.31
