season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2021/2022,Anisa Anwar Ali,Goa,7,11,1.05,0.0,-1.05
2021/2022,Idrissa Gana Gueye,Paris Saint-Germain,12,17,1.07,0.0,-1.07
2021/2022,Bruno Edgar Silva Almeida,Bengaluru,10,19,1.12,0.0,-1.12
2022,Robert Lewandowski,Poland,3,12,3.13,2.0,-1.13
2022,Jamal Musiala,Germany,3,11,1.15,0.0,-1.15
2021/2022,Chencho Gyeltshen,Kerala Blasters,6,11,1.17,0.0,-1.17
2021/2022,Raynier Fernandes,Mumbai City,5,9,1.21,0.0,-1.21
2022,Rodrygo Silva de Goes,Brazil,4,7,1.25,0.0,-1.25
2021/2022,Jobby Justin,Chennaiyin,3,5,1.54,0.0,-1.54
2022,Romelu Lukaku Menama,Belgium,1,5,1.68,0.0,-1.68
2021/2022,Cássio Gabriel Vilela Ferreira,Mumbai City,19,57,2.83,1.0,-1.83
2021/2022,Marcelo Ribeiro dos Santos,East Bengal,5,18,1.89,0.0,-1.89
2022,Lautaro Javier Martínez,Argentina,6,15,2.91,1.0,-1.91
2021/2022,Łukasz Gikiewicz,Chennaiyin,9,17,3.16,1.0,-2.16
2021/2022,Marko Lešković,Kerala Blasters,12,18,2.17,0.0,-2.17
2021/2022,Lalkhawpuimawia Lalkhawpuimawia,NorthEast United,7,16,2.33,0.0,-2.33
2021/2022,Sunil Chhetri,Bengaluru,16,33,6.82,4.0,-2.82
2021/2022,Lionel Andrés Messi Cuccittini,Paris Saint-Germain,24,89,9.26,6.0,-3.26
