season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2023,3920399,Carlos Miguel Pereira Fernandes,Cape Verde Islands,2,0.097,0.048,8.0,28.0,0.311
2023,3920414,Adilson Cipriano da Cruz,Angola,1,0.66,0.33,4.0,192.0,0.31
2023,3920419,Sofiane Boufal,Morocco,1,0.457,0.228,8.0,134.0,0.307
2023,3920416,Khuliso Johnson Mudau,South Africa,1,0.15,0.15,3.0,44.0,0.307
2022/2023,3837987,Riad Nouri,AC Ajaccio,1,0.078,0.078,2.0,23.0,0.306
2022/2023,3837659,Nicolas Louis Marcel Cozza,Montpellier,1,0.599,0.3,4.0,176.0,0.306
2022/2023,3837752,Marcos Aoás Corrêa,Paris Saint-Germain,4,1.115,0.279,11.0,328.0,0.306
2022/2023,3837938,Hichem Boudaoui,OGC Nice,1,0.493,0.246,16.0,146.0,0.304
2022/2023,3837844,Hugo Ekitike,Paris Saint-Germain,6,1.387,0.231,11.0,414.0,0.302
2022/2023,3837659,Falaye Sacko,Montpellier,1,0.599,0.3,4.0,180.0,0.3
2023,3923881,Ibrahim Sangaré,Côte d'Ivoire,1,0.023,0.023,1.0,7.0,0.3
2023,3877115,Lorenzo Insigne,Toronto FC,1,0.299,0.299,7.0,90.0,0.299
2022/2023,3837954,Lionel Andrés Messi Cuccittini,Paris Saint-Germain,4,1.51,0.302,20.0,455.0,0.299
2022/2023,3837752,Nordi Mukiele Mulere,Paris Saint-Germain,4,1.18,0.295,10.0,356.0,0.298
2022/2023,3837695,Marco Verratti,Paris Saint-Germain,7,1.614,0.202,47.0,488.0,0.298
2023,3877060,Jordi Alba Ramos,Inter Miami,3,1.213,0.303,6.0,368.0,0.297
2022/2023,3837947,Massadio Haïdara,Lens,2,0.105,0.053,6.0,32.0,0.297
2023,3920388,Nampalys Mendy,Senegal,2,0.111,0.055,3.0,34.0,0.293
2023,3920385,Gildo Lourenço Vilanculos,Mozambique,1,0.153,0.153,2.0,47.0,0.293
2023,3922838,Arthur Masuaku,Congo DR,2,0.61,0.305,4.0,188.0,0.292
2022/2023,3837987,Renato Júnior Luz Sanches,Paris Saint-Germain,2,0.162,0.081,4.0,50.0,0.292
2023,3920407,Ryan Nyambe,Namibia,2,0.466,0.233,4.0,144.0,0.291
2023,3877115,Leonardo Campana Romero,Inter Miami,3,0.251,0.084,6.0,78.0,0.29
2023,3920402,Mohamed El Amine Amoura,Algeria,2,0.341,0.17,4.0,106.0,0.289
2023,3920389,Junior Tchamadeu,Cameroon,3,0.183,0.061,7.0,57.0,0.289
2023,3922237,Kennedy Amutenya,Namibia,2,0.371,0.185,3.0,116.0,0.288
2022/2023,3837859,Mikkel Desler,Toulouse,2,0.296,0.099,12.0,93.0,0.286
2023,3920405,Yoane Wissa,Congo DR,3,0.916,0.305,6.0,288.0,0.286
2022/2023,3837954,Carlos Soler Barragán,Paris Saint-Germain,4,0.761,0.19,14.0,240.0,0.285
2022/2023,3837885,Nuno Mendes,Paris Saint-Germain,6,1.418,0.236,15.0,450.0,0.284
2022/2023,3837680,Alexander Nübel,AS Monaco,1,0.268,0.268,2.0,85.0,0.284
2022/2023,3837844,Juan Bernat Velasco,Paris Saint-Germain,2,0.139,0.069,3.0,44.0,0.283
2022/2023,3837662,Alexsandro Victor de Souza Ribeiro,Lille,5,1.3,0.217,17.0,414.0,0.283
2022/2023,3837885,Sergio Ramos García,Paris Saint-Germain,5,1.334,0.267,8.0,425.0,0.282
2022/2023,3838004,Dimitri Liénard,Strasbourg,3,0.206,0.069,6.0,66.0,0.281
2022/2023,3837695,Kylian Mbappé Lottin,Paris Saint-Germain,3,0.772,0.193,16.0,248.0,0.28
2023,3920413,Faris Pemi Moumbagna,Cameroon,1,0.081,0.081,4.0,26.0,0.28
2023,3877060,Noah Allen,Inter Miami,3,1.133,0.283,7.0,368.0,0.277
2023,3920388,Ebrima Darboe,Gambia,1,0.493,0.246,6.0,160.0,0.277
2023,3920404,Mohamed Elias Achouri,Tunisia,2,0.422,0.211,3.0,138.0,0.275
2022/2023,3837680,Ruben Aguilar,AS Monaco,1,0.268,0.268,2.0,88.0,0.274
2023,3920404,Nene Dorgeles,Mali,2,0.152,0.076,6.0,50.0,0.274
2022/2023,3837695,Gianluigi Donnarumma,Paris Saint-Germain,3,1.103,0.276,5.0,364.0,0.273
2022/2023,3838017,Johan Gastien,Clermont Foot,5,1.306,0.261,23.0,430.0,0.273
2022/2023,3837662,Marcos Aoás Corrêa,Paris Saint-Germain,4,1.046,0.261,6.0,348.0,0.27
2022/2023,3837859,Thijs Dallinga,Toulouse,2,0.359,0.09,6.0,120.0,0.269
2022/2023,3838017,Mehdi Zeffane,Clermont Foot,3,0.404,0.135,10.0,135.0,0.269
2023,3922237,Ngero Kaanjuka Katua,Namibia,2,0.351,0.175,6.0,118.0,0.268
