team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Cameroon,Darlin Zidane Yongwa Ngameni,168.0,4.0,5.0,10.0,2.14,2.68,5.36,10.18,Progression Outlet
Guinea,François Kamano,62.0,3.0,3.0,1.0,4.35,4.35,1.45,10.149999999999999,Complete Progressor
Troyes,Wilson Odobert,80.0,3.0,3.0,3.0,3.38,3.38,3.38,10.14,Complete Progressor
Troyes,Mama Samba Baldé,89.0,1.0,6.0,3.0,1.01,6.07,3.03,10.11,Ball Carrier
Egypt,Mahmoud Ibrahim Hassan,232.0,7.0,7.0,12.0,2.72,2.72,4.66,10.100000000000001,Progression Outlet
OGC Nice,Youssouf Ndayishimiye,89.0,3.0,4.0,3.0,3.03,4.04,3.03,10.1,Complete Progressor
South Africa,Themba Zwane,511.0,14.0,17.0,26.0,2.47,2.99,4.58,10.040000000000001,Ball Carrier
Stade de Reims,Jens-Lys Michel Cajuste,81.0,7.0,2.0,0.0,7.78,2.22,0.0,10.0,Progressive Passer
Rennes,Amine Gouiri,108.0,2.0,4.0,6.0,1.67,3.33,5.0,10.0,Ball Carrier
Gambia,Assan Ceesay,36.0,1.0,2.0,1.0,2.5,5.0,2.5,10.0,Ball Carrier
Mozambique,Geny Cipriano Catamo,189.0,6.0,7.0,8.0,2.86,3.33,3.81,10.0,Ball Carrier
Clermont Foot,Mehdi Zeffane,45.0,2.0,1.0,2.0,4.0,2.0,4.0,10.0,Progressive Passer
Toronto FC,Federico Bernardeschi,90.0,3.0,2.0,5.0,3.0,2.0,5.0,10.0,Progressive Passer
Paris Saint-Germain,Fabián Ruiz Peña,1594.0,79.0,30.0,66.0,4.46,1.69,3.73,9.88,Progressive Passer
Lorient,Ibrahima Koné,64.0,0.0,3.0,4.0,0.0,4.22,5.62,9.84,Ball Carrier
AC Ajaccio,Cyrille Bayala,55.0,0.0,3.0,3.0,0.0,4.91,4.91,9.82,Ball Carrier
Burkina Faso,Issa Kabore,385.0,9.0,17.0,16.0,2.1,3.97,3.74,9.81,Ball Carrier
Mozambique,Clésio Bauque,55.0,2.0,2.0,2.0,3.27,3.27,3.27,9.81,Complete Progressor
Côte d'Ivoire,Nicolas Pépé,222.0,1.0,13.0,10.0,0.41,5.27,4.05,9.73,Ball Carrier
South Africa,Mihlali Samson Mayambela,195.0,1.0,9.0,11.0,0.46,4.15,5.08,9.690000000000001,Ball Carrier
Auxerre,M''Baye Babacar Niang,65.0,0.0,3.0,4.0,0.0,4.15,5.54,9.690000000000001,Ball Carrier
Algeria,Mohamed El Amine Amoura,121.0,2.0,5.0,6.0,1.49,3.72,4.46,9.67,Ball Carrier
Ghana,Joseph Paintsil,112.0,2.0,4.0,6.0,1.61,3.21,4.82,9.64,Ball Carrier
Lille,Yusuf Yazıcı,56.0,2.0,2.0,2.0,3.21,3.21,3.21,9.629999999999999,Complete Progressor
Egypt,Omar Marmoush,243.0,1.0,10.0,15.0,0.37,3.7,5.56,9.629999999999999,Ball Carrier
Marseille,Cengiz Ünder,103.0,6.0,2.0,3.0,5.24,1.75,2.62,9.61,Progressive Passer
Equatorial Guinea,Santiago Eneme Bocari,47.0,2.0,2.0,1.0,3.83,3.83,1.91,9.57,Complete Progressor
Charlotte,Kamil Jóźwiak,66.0,3.0,1.0,3.0,4.09,1.36,4.09,9.54,Progressive Passer
Paris Saint-Germain,Warren Zaire Emery,740.0,20.0,22.0,36.0,2.43,2.68,4.38,9.49,Progression Outlet
AC Ajaccio,Riad Nouri,57.0,1.0,2.0,3.0,1.58,3.16,4.74,9.48,Ball Carrier
Cape Verde Islands,Willy Afonso Semedo Johnson,209.0,5.0,8.0,9.0,2.15,3.44,3.88,9.469999999999999,Ball Carrier
Namibia,Peter Shalulile,372.0,7.0,11.0,21.0,1.69,2.66,5.08,9.43,Progression Outlet
Guinea-Bissau,Famana Quizera,67.0,2.0,4.0,1.0,2.69,5.37,1.34,9.4,Ball Carrier
Burkina Faso,Mamady Alex Bangré,48.0,0.0,2.0,3.0,0.0,3.75,5.62,9.370000000000001,Ball Carrier
Nigeria,Ademola Lookman,559.0,7.0,20.0,31.0,1.13,3.22,4.99,9.34,Ball Carrier
Mauritania,Aboubakar Kamara,116.0,0.0,6.0,6.0,0.0,4.66,4.66,9.32,Ball Carrier
Toronto FC,Jonathan Osorio,87.0,3.0,3.0,3.0,3.1,3.1,3.1,9.3,Complete Progressor
Burkina Faso,Dango Aboubacar Faissal Ouattara,117.0,2.0,5.0,5.0,1.54,3.85,3.85,9.24,Ball Carrier
Côte d'Ivoire,Serge Aurier,351.0,15.0,12.0,9.0,3.85,3.08,2.31,9.24,Complete Progressor
Paris Saint-Germain,Carlos Soler Barragán,928.0,32.0,26.0,37.0,3.1,2.52,3.59,9.21,Progressive Passer
Ghana,Mohammed Kudus,177.0,4.0,8.0,6.0,2.03,4.07,3.05,9.149999999999999,Ball Carrier
Algeria,Ismael Bennacer,79.0,2.0,4.0,2.0,2.28,4.56,2.28,9.12,Ball Carrier
Lens,Seko Fofana,89.0,3.0,4.0,2.0,3.03,4.04,2.02,9.09,Complete Progressor
Cape Verde Islands,Tiago Manuel Dias Correia,248.0,4.0,9.0,12.0,1.45,3.27,4.35,9.07,Ball Carrier
Cincinnati,Álvaro Martín Barreal,80.0,3.0,3.0,2.0,3.38,3.38,2.25,9.01,Complete Progressor
Algeria,Adam Ounas,100.0,1.0,4.0,5.0,0.9,3.6,4.5,9.0,Ball Carrier
LAFC,Timothy Tillman,50.0,4.0,0.0,1.0,7.2,0.0,1.8,9.0,Progressive Passer
Nigeria,Bright Osayi-Samuel,222.0,9.0,5.0,8.0,3.65,2.03,3.24,8.92,Progressive Passer
Nigeria,Moses Daddy-Ajala Simon,475.0,7.0,20.0,20.0,1.33,3.79,3.79,8.91,Ball Carrier
Zambia,Fashion Sakala,192.0,1.0,9.0,9.0,0.47,4.22,4.22,8.91,Ball Carrier
Nantes,Ignatius Kpene Ganago,101.0,2.0,4.0,4.0,1.78,3.56,3.56,8.9,Ball Carrier
Paris Saint-Germain,Juan Bernat Velasco,1372.0,24.0,29.0,82.0,1.57,1.9,5.38,8.85,Progression Outlet
New York Red Bulls,Daniel Edelman,92.0,8.0,1.0,0.0,7.83,0.98,0.0,8.81,Progressive Passer
Cincinnati,Sergio Henrique Santos Gomes,41.0,0.0,1.0,3.0,0.0,2.2,6.59,8.79,Progression Outlet
Paris Saint-Germain,Vitor Machado Ferreira,2085.0,83.0,59.0,60.0,3.58,2.55,2.59,8.719999999999999,Progressive Passer
Côte d'Ivoire,Jean Thierry Lazare Amani,31.0,0.0,2.0,1.0,0.0,5.81,2.9,8.709999999999999,Ball Carrier
Lille,Edon Zhegrova,31.0,0.0,2.0,1.0,0.0,5.81,2.9,8.709999999999999,Ball Carrier
OGC Nice,Melvin Bard,156.0,0.0,5.0,10.0,0.0,2.88,5.77,8.649999999999999,Progression Outlet
Namibia,Absalom Iimbondi,220.0,7.0,7.0,7.0,2.86,2.86,2.86,8.58,Supporting Progressor
Morocco,Bilal El Khannous,63.0,3.0,2.0,1.0,4.29,2.86,1.43,8.58,Progressive Passer
Tanzania,Faisal Salum Abdalla,158.0,6.0,6.0,3.0,3.42,3.42,1.71,8.55,Complete Progressor
Nantes,Samuel Moutoussamy,169.0,8.0,5.0,3.0,4.26,2.66,1.6,8.52,Progressive Passer
Guinea-Bissau,Carlos Manuel Cardoso Mané,74.0,2.0,3.0,2.0,2.43,3.65,2.43,8.51,Ball Carrier
