match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3939987,Jamaica,10.0,7.0,10.0,27.0,25.93,37.04
3939987,Venezuela,27.0,22.0,27.0,76.0,28.95,35.53
3939988,Ecuador,7.0,9.0,7.0,23.0,39.13,30.43
3939988,Mexico,23.0,20.0,23.0,66.0,30.3,34.85
3939989,Bolivia,15.0,14.0,15.0,44.0,31.82,34.09
3939989,Panama,26.0,17.0,26.0,69.0,24.64,37.68
3939990,United States,19.0,10.0,19.0,48.0,20.83,39.58
3939990,Uruguay,24.0,24.0,24.0,72.0,33.33,33.33
3939991,Brazil,11.0,14.0,11.0,36.0,38.89,30.56
3939991,Colombia,21.0,22.0,21.0,64.0,34.38,32.81
3939992,Costa Rica,5.0,3.0,5.0,13.0,23.08,38.46
3939992,Paraguay,44.0,35.0,44.0,123.0,28.46,35.77
3940878,Italy,20.0,14.0,20.0,54.0,25.93,37.04
3940878,Switzerland,40.0,29.0,40.0,109.0,26.61,36.7
3940983,Denmark,33.0,17.0,33.0,83.0,20.48,39.76
3940983,Germany,27.0,28.0,27.0,82.0,34.15,32.93
3941017,England,30.0,24.0,30.0,84.0,28.57,35.71
3941017,Slovakia,30.0,18.0,30.0,78.0,23.08,38.46
3941018,Georgia,5.0,9.0,5.0,19.0,47.37,26.32
3941018,Spain,89.0,67.0,89.0,245.0,27.35,36.33
3941019,Belgium,12.0,10.0,12.0,34.0,29.41,35.29
3941019,France,40.0,43.0,40.0,123.0,34.96,32.52
3941020,Portugal,48.0,36.0,48.0,132.0,27.27,36.36
3941020,Slovenia,9.0,12.0,9.0,30.0,40.0,30.0
3941021,Netherlands,36.0,26.0,36.0,98.0,26.53,36.73
3941021,Romania,6.0,8.0,6.0,20.0,40.0,30.0
3941022,Austria,61.0,45.0,61.0,167.0,26.95,36.53
3941022,Turkey,12.0,17.0,12.0,41.0,41.46,29.27
3942226,Germany,47.0,34.0,47.0,128.0,26.56,36.72
3942226,Spain,35.0,30.0,35.0,100.0,30.0,35.0
3942227,England,27.0,22.0,27.0,76.0,28.95,35.53
3942227,Switzerland,41.0,25.0,41.0,107.0,23.36,38.32
3942228,Argentina,9.0,10.0,9.0,28.0,35.71,32.14
3942228,Ecuador,26.0,9.0,26.0,61.0,14.75,42.62
3942229,Canada,21.0,21.0,21.0,63.0,33.33,33.33
3942229,Venezuela,18.0,12.0,18.0,48.0,25.0,37.5
3942349,France,42.0,44.0,42.0,128.0,34.38,32.81
3942349,Portugal,26.0,24.0,26.0,76.0,31.58,34.21
3942382,Netherlands,51.0,26.0,51.0,128.0,20.31,39.84
